scientificName,animal,Movement,migratory,migratory.nomadic,populationTrend,decline,EOO,Pac_Americas,Cen_Americas,Atl_Americas,Eas_Atlantic,Black_Sea,Eas_Africa,Cen_Asia,Eas_Asia,American,AfroPal,Asian,Artificial,Coastal,Forest,Grassland,Savanna,Shrubland,Wetlands,Hemisphere5,Hemisphere,Flyway
Anthochaera paradoxa,Anthochaera_paradoxa,Nomadic,0,1,Decreasing,1,93000,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,3,2,4
Anthochaera phrygia,Xanthomyza_phrygia,Nomadic,0,1,Decreasing,1,129000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,3,2,4
Anthornis melanura,Anthornis_melanura,Not a Migrant,0,0,Decreasing,1,787000,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,3,2,4
Anthoscopus caroli,Anthoscopus_caroli,Not a Migrant,0,0,Decreasing,1,8150000,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,3,2,2
Anthoscopus flavifrons,Anthoscopus_flavifrons,Not a Migrant,0,0,Decreasing,1,3520000,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,3,2,2
Anthoscopus minutus,Anthoscopus_minutus,Not a Migrant,0,0,Stable,0,3040000,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,3,2,2
Anthoscopus musculus,Anthoscopus_musculus,Not a Migrant,0,0,Stable,0,2250000,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,3,2,2
Anthoscopus parvulus,Anthoscopus_parvulus,Not a Migrant,0,0,Stable,0,3900000,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,3,2,2
Anthoscopus punctifrons,Anthoscopus_punctifrons,Not a Migrant,0,0,Stable,0,4350000,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,5,3,2
Anthoscopus sylviella,Anthoscopus_caroli,Not a Migrant,0,0,Decreasing,1,228000,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,3,2,2
Anthracoceros albirostris,Anthracoceros_albirostris,Not a Migrant,0,0,Stable,0,10700000,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,5,3,4
Anthracoceros coronatus,Anthracoceros_coronatus,Not a Migrant,0,0,Decreasing,1,1720000,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,3,2,4
Anthracoceros malayanus,Anthracoceros_malayanus,Not a Migrant,0,0,Decreasing,1,3050000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Anthracoceros marchei,Anthracoceros_marchei,Not a Migrant,0,0,Decreasing,1,41300,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Anthracoceros montani,Anthracoceros_montani,Not a Migrant,0,0,Decreasing,1,780,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Anthracothorax aurulentus,Anthracothorax_dominicus,Not a Migrant,0,0,Decreasing,1,30200,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,3,2,1
Anthracothorax mango,Anthracothorax_mango,Altitudinal Migrant,0,1,Stable,0,13500,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,3,2,1
Anthracothorax nigricollis,Anthracothorax_nigricollis,Full Migrant,1,1,Stable,0,14900000,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,3,2,1
Anthracothorax prevostii,Anthracothorax_prevostii,Not a Migrant,0,0,Decreasing,1,3370000,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,5,3,1
Anthracothorax veraguensis,Anthracothorax_veraguensis,Not a Migrant,0,0,Stable,0,57300,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3,2,1
Anthracothorax viridigula,Anthracothorax_viridigula,Not a Migrant,0,0,Decreasing,1,1890000,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,3,2,1
Anthracothorax viridis,Anthracothorax_viridis,Altitudinal Migrant,0,1,Stable,0,9900,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,3,2,1
Anthreptes anchietae,Anthreptes_anchietae,Not a Migrant,0,0,Stable,0,1720000,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,3,2,2
Anthreptes aurantius,Anthreptes_aurantium,Not a Migrant,0,0,Decreasing,1,2710000,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,3,2,2
Anthreptes gabonicus,Anthreptes_gabonicus,Not a Migrant,0,0,Stable,0,4030000,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,3,2,2
Anthreptes griseigularis,Anthreptes_malacensis,Not a Migrant,0,0,Decreasing,1,443000,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,3,2,4
Anthreptes longuemarei,Anthreptes_longuemarei,Not a Migrant,0,0,Stable,0,13300000,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,3,2,2
Anthreptes malacensis,Anthreptes_malacensis,Not a Migrant,0,0,Decreasing,1,9000000,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,3,2,4
Anthreptes neglectus,Anthreptes_neglectus,Not a Migrant,0,0,Decreasing,1,561000,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,3,2,2
Anthreptes orientalis,Anthreptes_orientalis,Not a Migrant,0,0,Stable,0,2930000,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,3,2,2
Anthreptes rectirostris,Anthreptes_rectirostris,Not a Migrant,0,0,Decreasing,1,557000,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,3,2,2
Anthreptes reichenowi,Anthreptes_reichenowi,Not a Migrant,0,0,Decreasing,1,1330000,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,3,2,2
Anthreptes rhodolaemus,Anthreptes_rhodolaemus,Not a Migrant,0,0,Decreasing,1,3790000,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,3,2,4
Anthreptes rubritorques,Anthreptes_rubritorques,Not a Migrant,0,0,Decreasing,1,46800,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,3,2,2
Anthreptes seimundi,Nectarinia_seimundi,Not a Migrant,0,0,Stable,0,6540000,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,3,2,2
Anthreptes simplex,Anthreptes_simplex,Not a Migrant,0,0,Decreasing,1,3870000,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,3,2,4
Anthreptes tephrolaemus,Anthreptes_rectirostris,Not a Migrant,0,0,Decreasing,1,4780000,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,3,2,2
Anthropoides paradiseus,Grus_paradisea,Not a Migrant,0,0,Decreasing,1,1890000,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,3,2,2
Anthropoides virgo,Grus_virgo,Full Migrant,1,1,Increasing,0,12400000,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,2,1,6
Anthus bogotensis,Anthus_bogotensis,Not a Migrant,0,0,Stable,0,3470000,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,3,2,1
Anthus brachyurus,Anthus_brachyurus,Not a Migrant,0,0,Stable,0,5840000,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,3,2,2
Anthus caffer,Anthus_caffer,Not a Migrant,0,0,Stable,0,5100000,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,3,2,2
Anthus campestris,Anthus_campestris,Full Migrant,1,1,Stable,0,22100000,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,2,1,6
Anthus cervinus,Anthus_cervinus,Full Migrant,1,1,Stable,0,540000,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,2,1,7
Anthus chacoensis,Anthus_chacoensis,Full Migrant,1,1,Stable,0,950000,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,3,2,1
Anthus cinnamomeus,Anthus_hoeschi,Full Migrant,1,1,Stable,0,18200000,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,5,3,2
Anthus correndera,Anthus_correndera,Full Migrant,1,1,Stable,0,9490000,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,3,2,1
Anthus crenatus,Anthus_crenatus,Not a Migrant,0,0,Decreasing,1,630000,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,3,2,2
Anthus furcatus,Anthus_furcatus,Not a Migrant,0,0,Stable,0,2050000,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,2,1
Anthus godlewskii,Anthus_godlewskii,Full Migrant,1,1,Stable,0,2760000,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,2,1,4
Anthus gustavi,Anthus_gustavi,Full Migrant,1,1,Stable,0,14500000,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,2,1,7
Anthus gutturalis,Anthus_gutturalis,Not a Migrant,0,0,Stable,0,342000,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,3,2,4
Anthus hellmayri,Anthus_hellmayri,Full Migrant,1,1,Stable,0,6400000,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,3,2,1
Anthus hoeschi,Anthus_hoeschi,Full Migrant,1,1,Decreasing,1,33300,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,3,2,2
Anthus leucophrys,Anthus_leucophrys,Not a Migrant,0,0,Stable,0,23900000,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,3,2,2
Anthus lineiventris,Anthus_lineiventris,Not a Migrant,0,0,Stable,0,6140000,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,3,2,2
Anthus lutescens,Anthus_lutescens,Not a Migrant,0,0,Stable,0,NA,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,3,2,1
Anthus melindae,Anthus_melindae,Not a Migrant,0,0,Stable,0,194000,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,3,2,2
Anthus nattereri,Anthus_nattereri,Not a Migrant,0,0,Decreasing,1,1120000,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,2,1
Anthus nilghiriensis,Anthus_nilghiriensis,Not a Migrant,0,0,Decreasing,1,53700,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,3,2,4
Anthus novaeseelandiae,Anthus_novaeseelandiae,Not a Migrant,0,0,Stable,0,21700000,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,3,2,4
Anthus nyassae,Anthus_similis,Not a Migrant,0,0,Stable,0,4610000,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,3,2,2
Anthus pallidiventris,Anthus_pallidiventris,Not a Migrant,0,0,Stable,0,1540000,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,3,2,2
Anthus peruvianus,Anthus_lutescens,Not a Migrant,0,0,Stable,0,332000,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,3,2,1
Anthus pratensis,Anthus_pratensis,Full Migrant,1,1,Decreasing,1,15600000,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,2,1,6
Anthus richardi,Anthus_richardi,Full Migrant,1,1,Stable,0,16000000,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,5,3,6
Anthus roseatus,Anthus_roseatus,Full Migrant,1,1,Stable,0,6750000,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,5,3,4
Anthus rubescens,Anthus_rubescens,Full Migrant,1,1,Decreasing,1,46000000,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,2,1,7
Anthus rufulus,Anthus_rufulus,Not a Migrant,0,0,Stable,0,20000000,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,5,3,4
Anthus similis,Anthus_similis,Not a Migrant,0,0,Stable,0,55000000,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,5,3,6
Anthus sokokensis,Anthus_sokokensis,Not a Migrant,0,0,Decreasing,1,2300,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,3,2,2
Anthus spinoletta,Anthus_spinoletta,Full Migrant,1,1,Stable,0,17500000,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,2,1,6
Anthus spragueii,Anthus_spragueii,Full Migrant,1,1,Decreasing,1,1280000,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,1
Anthus sylvanus,Anthus_sylvanus,Not a Migrant,0,0,Stable,0,3550000,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,5,3,4
Anthus trivialis,Anthus_trivialis,Full Migrant,1,1,Decreasing,1,35100000,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,5,3,6
Anthus vaalensis,Anthus_vaalensis,Not a Migrant,0,0,Increasing,0,5870000,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,3,2,2
Antigone antigone,Grus_antigone,Full Migrant,1,1,Decreasing,1,NA,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,3,2,4
Antigone canadensis,Grus_canadensis,Full Migrant,1,1,Increasing,0,NA,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,5,3,7
Antigone rubicunda,Grus_rubicunda,Not a Migrant,0,0,Decreasing,1,NA,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,3,2,4
Antigone vipio,Grus_vipio,Full Migrant,1,1,Decreasing,1,NA,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,2,1,4
Antilophia bokermanni,Antilophia_bokermanni,Not a Migrant,0,0,Decreasing,1,300,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,2,1
Antilophia galeata,Antilophia_galeata,Not a Migrant,0,0,Decreasing,1,2670000,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,2,1
Antrostomus arizonae,Caprimulgus_vociferus,Full Migrant,1,1,Decreasing,1,3370000,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,3,1
Antrostomus badius,Caprimulgus_badius,Not a Migrant,0,0,Decreasing,1,127000,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,2,1
Antrostomus carolinensis,Caprimulgus_carolinensis,Full Migrant,1,1,Decreasing,1,3570000,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,5,3,1
Antrostomus cubanensis,Caprimulgus_cubanensis,Not a Migrant,0,0,Decreasing,1,223000,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,3,2,1
Antrostomus ekmani,Caprimulgus_cubanensis,Not a Migrant,0,0,Decreasing,1,66900,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,2,1
Antrostomus noctitherus,Caprimulgus_noctitherus,Not a Migrant,0,0,Decreasing,1,1570,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,3,2,1
Antrostomus ridgwayi,Caprimulgus_ridgwayi,Not a Migrant,0,0,Decreasing,1,1980000,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,5,3,1
Antrostomus rufus,Caprimulgus_rufus,Not a Migrant,0,0,Decreasing,1,15200000,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,3,2,1
Antrostomus salvini,Caprimulgus_salvini,Not a Migrant,0,0,Decreasing,1,141000,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,5,3,1
Antrostomus saturatus,Caprimulgus_saturatus,Not a Migrant,0,0,Stable,0,14200,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,3,2,1
Antrostomus sericocaudatus,Caprimulgus_sericocaudatus,Not a Migrant,0,0,Decreasing,1,6120000,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,2,1
Antrostomus vociferus,Caprimulgus_vociferus,Full Migrant,1,1,Stable,0,5180000,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,1
Anumara forbesi,Curaeus_forbesi,Not a Migrant,0,0,Decreasing,1,447000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,3,2,1
Anumbius annumbi,Anumbius_annumbi,Not a Migrant,0,0,Increasing,0,4520000,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,3,2,1
Anurophasis monorthonyx,Anurophasis_monorthonyx,Not a Migrant,0,0,Stable,0,23400,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,3,2,4
Apalharpactes mackloti,Apalharpactes_mackloti,Not a Migrant,0,0,Decreasing,1,207000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Apalharpactes reinwardtii,Apalharpactes_reinwardtii,Not a Migrant,0,0,Decreasing,1,1300,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Apalis alticola,Apalis_alticola,Not a Migrant,0,0,Decreasing,1,2050000,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,3,2,2
Apalis argentea,Apalis_argentea,Not a Migrant,0,0,Decreasing,1,73800,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,3,2,2
Apalis bamendae,Apalis_bamendae,Not a Migrant,0,0,Decreasing,1,26000,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,3,2,2
Apalis binotata,Apalis_binotata,Not a Migrant,0,0,Decreasing,1,2600000,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,3,2,2
Apalis chapini,Apalis_chapini,Not a Migrant,0,0,Decreasing,1,242000,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,3,2,2
Apalis chariessa,Apalis_chariessa,Not a Migrant,0,0,Decreasing,1,209000,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,3,2,2
Apalis chirindensis,Apalis_chirindensis,Altitudinal Migrant,0,1,Decreasing,1,103000,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,3,2,2
Apalis cinerea,Apalis_cinerea,Not a Migrant,0,0,Decreasing,1,5110000,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,3,2,2
Apalis flavida,Apalis_flavida,Not a Migrant,0,0,Stable,0,18100000,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,3,2,2
Apalis flavigularis,Apalis_flavigularis,Altitudinal Migrant,0,1,Decreasing,1,1800,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,3,2,2
Apalis flavocincta,Apalis_flavida,Not a Migrant,0,0,Decreasing,1,1730000,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,3,2,2
Apalis fuscigularis,Apalis_fuscigularis,Not a Migrant,0,0,Decreasing,1,13,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,3,2,2
Apalis goslingi,Apalis_goslingi,Not a Migrant,0,0,Stable,0,2000000,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,3,2,2
Apalis jacksoni,Apalis_jacksoni,Not a Migrant,0,0,Decreasing,1,4200000,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,3,2,2
Apalis kaboboensis,Apalis_porphyrolaema,Not a Migrant,0,0,Decreasing,1,1800,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,3,2,2
Apalis karamojae,Apalis_karamojae,Not a Migrant,0,0,Decreasing,1,177000,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,3,2,2
Apalis lynesi,Apalis_lynesi,Not a Migrant,0,0,Decreasing,1,4400,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,3,2,2
Apalis melanocephala,Apalis_melanocephala,Altitudinal Migrant,0,1,Decreasing,1,1600000,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,3,2,2
Apalis nigriceps,Apalis_nigriceps,Not a Migrant,0,0,Stable,0,3240000,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,3,2,2
Apalis personata,Apalis_personata,Not a Migrant,0,0,Decreasing,1,267000,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,3,2,2
Apalis porphyrolaema,Apalis_porphyrolaema,Not a Migrant,0,0,Decreasing,1,715000,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,3,2,2
Apalis ruddi,Apalis_ruddi,Not a Migrant,0,0,Stable,0,383000,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,3,2,2
Apalis rufogularis,Apalis_rufogularis,Not a Migrant,0,0,Decreasing,1,5810000,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,3,2,2
Apalis sharpii,Apalis_sharpii,Not a Migrant,0,0,Decreasing,1,752000,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3,2,2
Apalis thoracica,Apalis_thoracica,Altitudinal Migrant,0,1,Decreasing,1,3650000,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,3,2,2
Apaloderma aequatoriale,Apaloderma_aequatoriale,Not a Migrant,0,0,Decreasing,1,2020000,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,3,2,2
Apaloderma narina,Apaloderma_narina,Altitudinal Migrant,0,1,Decreasing,1,23300000,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,3,2,2
Apaloderma vittatum,Apaloderma_vittatum,Not a Migrant,0,0,Decreasing,1,6410000,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,3,2,2
Apalopteron familiare,Apalopteron_familiare,Not a Migrant,0,0,Stable,0,107,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,3,2,4
Aphanotriccus audax,Aphanotriccus_audax,Not a Migrant,0,0,Decreasing,1,222000,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,3,2,1
Aphanotriccus capitalis,Aphanotriccus_capitalis,Not a Migrant,0,0,Decreasing,1,17000,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,3,2,1
Aphelocephala leucopsis,Aphelocephala_leucopsis,Not a Migrant,0,0,Decreasing,1,52300000,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,3,2,4
Aphelocephala nigricincta,Aphelocephala_nigricincta,Not a Migrant,0,0,Stable,0,2590000,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,3,2,4
Aphelocephala pectoralis,Aphelocephala_pectoralis,Not a Migrant,0,0,Decreasing,1,244000,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,3,2,4
Aphelocoma californica,Aphelocoma_californica,Not a Migrant,0,0,Decreasing,1,4590000,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,5,3,1
Aphelocoma coerulescens,Aphelocoma_coerulescens,Not a Migrant,0,0,Decreasing,1,71900,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1
Aphelocoma ultramarina,Aphelocoma_ultramarina,Not a Migrant,0,0,Decreasing,1,97900,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,3,1
Aphelocoma unicolor,Aphelocoma_unicolor,Not a Migrant,0,0,Decreasing,1,535000,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,5,3,1
Aphelocoma wollweberi,Aphelocoma_ultramarina,Not a Migrant,0,0,Stable,0,997000,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,3,1
Aphrastura spinicauda,Aphrastura_spinicauda,Not a Migrant,0,0,Decreasing,1,1510000,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,3,2,1
Aplonis brunneicapillus,Aplonis_brunneicapillus,Not a Migrant,0,0,Decreasing,1,80700,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Aplonis crassa,Aplonis_crassa,Not a Migrant,0,0,Decreasing,1,5100,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Aplonis dichroa,Aplonis_dichroa,Not a Migrant,0,0,Stable,0,4300,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Aplonis feadensis,Aplonis_feadensis,Not a Migrant,0,0,Stable,0,272000,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,3,2,4
Aplonis insularis,Aplonis_insularis,Not a Migrant,0,0,Decreasing,1,980,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Aplonis magna,Aplonis_magna,Not a Migrant,0,0,Stable,0,7500,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,3,2,4
Aplonis metallica,Aplonis_metallica,Not a Migrant,0,0,Decreasing,1,5700000,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,3,2,4
Aplonis minor,Aplonis_minor,Not a Migrant,0,0,Decreasing,1,3110000,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,3,2,4
Aplonis mystacea,Aplonis_mystacea,Not a Migrant,0,0,Decreasing,1,205000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Aplonis opaca,Aplonis_opaca,Not a Migrant,0,0,Decreasing,1,1730000,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,3,2,4
Aplonis panayensis,Aplonis_panayensis,Not a Migrant,0,0,Stable,0,10400000,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,3,2,4
Aplonis santovestris,Aplonis_santovestris,Not a Migrant,0,0,Decreasing,1,450,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Aplonis zelandica,Aplonis_zelandica,Not a Migrant,0,0,Decreasing,1,90700,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Aplopelia larvata,Aplopelia_larvata,Not a Migrant,0,0,Decreasing,1,20200000,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,3,2,2
Aprosmictus erythropterus,Aprosmictus_erythropterus,Nomadic,0,1,Decreasing,1,5230000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,3,2,4
Aprosmictus jonquillaceus,Aprosmictus_jonquillaceus,Not a Migrant,0,0,Decreasing,1,61500,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,3,2,4
Apteryx australis,Apteryx_australis,Not a Migrant,0,0,Decreasing,1,69300,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,3,2,4
Apteryx haastii,Apteryx_haastii,Not a Migrant,0,0,Decreasing,1,21900,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,3,2,4
Apteryx mantelli,Apteryx_mantelli,Not a Migrant,0,0,Stable,0,157000,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,3,2,4
Apteryx owenii,Apteryx_owenii,Not a Migrant,0,0,Increasing,0,296000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,3,2,4
